Edit_distance,Entropy,F_Values,Generations
4.221641073071856,1.8030405389033468,-47.04113240929967,0
3.886074213131942,1.8030405389033468,-47.04113240929967,1
3.643684080759406,1.8030405389033468,-47.04113240929967,2
3.520201934174734,1.8030405389033468,-47.51267348454212,3
3.4471414015455544,1.8030405389033468,-47.51267348454212,4
3.4305383029509304,1.8030405389033468,-47.51267348454212,5
3.3751946409688536,1.8030405389033468,-47.51267348454212,6
3.366893091671542,1.8030405389033468,-47.51267348454212,7
3.366893091671542,1.8030405389033468,-47.51267348454212,8
3.366893091671542,1.8030405389033468,-47.51267348454212,9
3.366893091671542,1.8030405389033468,-47.51267348454212,10
3.366893091671542,1.8030405389033468,-47.51267348454212,11
3.366893091671542,1.8030405389033468,-47.51267348454212,12
3.366893091671542,1.8030405389033468,-47.51267348454212,13
3.366893091671542,1.8030405389033468,-47.51267348454212,14
3.366893091671542,1.8030405389033468,-47.51267348454212,15
3.366893091671542,1.8030405389033468,-47.51267348454212,16
3.366893091671542,1.8030405389033468,-47.51267348454212,17
3.366893091671542,1.8030405389033468,-47.51267348454212,18
3.366893091671542,1.8030405389033468,-47.51267348454212,19
