Edit_distance,Entropy,F_Values,Generations
27.65871202965998,5.653955688570803,4.817620481124712e6,0
24.439632002117396,5.576911000393348,3.185543215527621e6,1
23.244721391052448,5.478927269772654,2.603540199408724e6,2
21.683681826387577,5.223585965005914,1.5782117875393636e6,3
19.501986867888835,5.064103822332238,1.5174078513362082e6,4
19.491120067009835,4.8582336251882765,1.2222557956376127e6,5
18.4727087345567,4.552909262423301,1.0884543680872675e6,6
17.786156573493443,4.518377754329444,895835.7908283127,7
17.0152437079569,4.586528765908592,815633.9748834387,8
14.871564306178625,4.4031223843883645,633602.6616907197,9
14.571322250283387,4.279482847498015,633602.6616907197,10
15.568735810278959,4.177444179790172,456508.1901108969,11
15.439771531383263,4.164792515684421,456508.1901108969,12
13.127903631065006,4.269413083085217,439099.5829618049,13
14.757682543130416,4.2111100219450535,362422.0434932923,14
13.903592894429112,4.246400305873682,272585.4704437612,15
13.80487100651747,4.305526675222639,272585.4704437612,16
11.827456793376419,4.28695499419997,252639.625256803,17
11.852952867794455,4.281135304856491,220234.38729280097,18
11.742938442149192,4.257363915951112,220234.38729280097,19
11.679351711374714,4.260260482037926,220234.38729280097,20
14.000307506357302,4.474532907423997,201716.48708432182,21
11.759905336011908,4.943771380931957,167002.0015006052,22
11.671855013359842,4.956183945435121,165677.40914411744,23
11.469209582080113,4.987233776638496,152792.41799846853,24
11.433786525146127,4.936591341321088,152792.41799846853,25
11.374240704361137,4.950694340485032,152792.41799846853,26
11.320026437698168,4.942140366359313,152792.41799846853,27
10.997093164721,4.89340619886923,139698.36874816884,28
10.245041814751364,4.962677533212449,139527.82946005743,29
11.030413896251076,4.948388276530327,135968.76980026945,30
10.97011195220021,4.946959081015928,135968.76980026945,31
9.98778243231387,4.873832524233222,121740.85508372883,32
9.883919268645812,4.912446929837564,116644.81103706775,33
9.828591211556661,4.917156681551663,116644.81103706775,34
9.773878670402267,4.942277452407187,116644.81103706775,35
9.742036376145094,4.905059603951636,116644.81103706775,36
9.714383923681229,4.906853989480808,116644.81103706775,37
9.73720768464756,4.95555640078201,115113.44813212813,38
9.92551633579711,4.922409258473744,112526.4652974747,39
9.682619888728485,4.909431078646561,108939.59928125684,40
9.586252389554012,4.909434179080899,108477.71854430552,41
9.53259957390053,4.935654290445829,108477.71854430552,42
9.50027587417246,4.874678908519837,108477.71854430552,43
9.497442324274557,4.889348579801315,108477.71854430552,44
9.478249815320863,4.908632304868662,108477.71854430552,45
9.33416566627347,4.911369916752094,106105.49979220648,46
9.347977196399214,4.92245552197911,106105.49979220648,47
9.351755126839507,4.96096187942347,106105.49979220648,48
9.515821209668788,4.903906984594005,105746.65963395611,49
9.512434639687447,4.905337335489235,102451.56047863049,50
9.49730163576965,4.887949457950562,102451.56047863049,51
