Edit_distance,Entropy,F_Values,Generations
22.305601670014905,5.416343363866357,-378.48661525154466,0
20.241264293343622,5.5063973604874406,-403.411075099108,1
15.322394890576247,5.524726125064455,-412.54813101883,2
13.520760687720538,5.6125118078646095,-420.98197244196194,3
14.774721697406063,5.458527094554967,-446.9636511266975,4
13.804582103116758,5.5104960985175895,-451.3925716659367,5
15.143782418217702,5.587337093531428,-475.4775219074056,6
14.779851095078786,5.402990701881231,-479.7036094185714,7
15.822686654997693,5.381246307957953,-498.2919572766368,8
14.929969654001509,5.151460216631128,-508.3847641858818,9
14.72378093390715,5.02040751018981,-508.3847641858818,10
14.430051181318367,4.954328055465303,-519.4350703072791,11
14.265914250416373,4.743399347563089,-519.4350703072791,12
15.211045069923834,4.935121228119745,-529.0085160017663,13
14.308615197448045,4.8167363428349415,-534.0950660842116,14
14.219743351265386,4.730729344569758,-534.0950660842116,15
14.490704935145704,4.703144130779126,-538.9983747756447,16
14.79150508100455,4.674842335188574,-543.8872382714333,17
14.812865246476832,4.648846623950358,-547.9724881522278,18
14.73947831775449,4.6209692637694015,-547.9724881522278,19
14.467863451341962,4.622915240448825,-548.7469800219081,20
14.280710558608037,4.57218370286657,-554.1782446625627,21
14.57529912454236,4.50675208325557,-557.377413874875,22
13.700810925400729,4.467730226372949,-558.0251208450652,23
13.673780521147064,4.465462524437768,-558.0251208450652,24
13.14894689274436,4.610530884422567,-558.3675061973684,25
14.000167219798657,4.52795464633188,-560.8075734595285,26
13.958664330475058,4.550210492407889,-560.8075734595285,27
13.932299485442604,4.450362814586808,-560.8075734595285,28
13.891322296650417,4.538517735909804,-560.8075734595285,29
13.81754596498372,4.517056239296087,-565.1687228693561,30
13.78673549753523,4.489012084539255,-565.1687228693561,31
14.129296104769281,4.4529252929987395,-565.4054475254086,32
13.638281331237048,4.527323710953146,-566.3781442877761,33
13.621033259440644,4.496521805313165,-566.6781506588562,34
13.583129549086035,4.4341930279751,-566.6781506588562,35
13.59102021277287,4.562022520000891,-566.6781506588562,36
14.370899180663661,4.529593118207518,-566.894791928589,37
14.372253778772405,4.555120228751198,-566.894791928589,38
14.364483266418345,4.5298737108703,-566.894791928589,39
14.362879786575137,4.577720149754506,-566.894791928589,40
14.335863650969545,4.548845600044846,-566.894791928589,41
13.725184651169103,4.581159730017831,-570.741165167548,42
13.723904163183246,4.529253165344407,-570.741165167548,43
13.390798590463275,4.547999361510575,-571.856691306055,44
13.387799227377487,4.520474076745149,-571.856691306055,45
13.39369195566647,4.551682192075105,-571.856691306055,46
13.379016710284139,4.511638440501052,-571.856691306055,47
13.391832080025669,4.544265028062597,-571.856691306055,48
13.367655471577981,4.571845867496641,-571.856691306055,49
13.343158383401885,4.536332528451668,-571.856691306055,50
13.354811843724388,4.553574023088853,-571.856691306055,51
13.346360594769143,4.563578667895905,-571.856691306055,52
13.357257696212677,4.517336568960175,-571.856691306055,53
13.3489741308447,4.549335568051219,-571.856691306055,54
13.356185887159654,4.539065449529374,-571.856691306055,55
13.359791872196062,4.523407127775085,-571.856691306055,56
13.362425243674556,4.534357080398635,-571.856691306055,57
13.356006021110353,4.518210137176975,-571.856691306055,58
13.356054192238446,4.53349643045763,-571.856691306055,59
13.985340276673378,4.53577431946547,-573.7768668087033,60
13.971274797806569,4.510516465784224,-573.7768668087033,61
13.72965864784024,4.522759362084549,-573.8886908523822,62
13.723234391552996,4.537053657192076,-573.8886908523822,63
13.690901296748576,4.55078660551068,-574.3265630537135,64
13.672286847247678,4.532540679795827,-574.3265630537135,65
13.663048901414868,4.531031468507343,-574.3265630537135,66
13.661949942715564,4.513917131545895,-574.3265630537135,67
13.678165035400843,4.554287599586828,-574.3265630537135,68
13.658880106851433,4.527959791799963,-574.3265630537135,69
13.661899885370586,4.5118972926612555,-574.3265630537135,70
13.666065492974269,4.511205559754054,-574.3265630537135,71
13.67355027701533,4.521044473775241,-574.3265630537135,72
13.660842936928804,4.527687108102995,-574.3265630537135,73
13.679521252265099,4.503653609633823,-574.3265630537135,74
13.656489308415242,4.518927340859014,-574.3265630537135,75
13.653497371675558,4.519503205967676,-574.3265630537135,76
13.641949953209835,4.525054191720316,-574.3265630537135,77
13.649155444585855,4.494236705811341,-574.3265630537135,78
13.653027735211703,4.531917484900395,-574.3265630537135,79
13.661455884839935,4.52914141295403,-574.3265630537135,80
